n=100,n=1000,n=10000,n=50000,n=100000
0.018432,0.061344,0.109568,0.32256,0.356352
0.019392,0.060416,0.108544,0.329728,0.357376
0.020448,0.063488,0.109568,0.3328,0.363296
0.019456,0.063264,0.108544,0.356352,0.357376
0.019456,0.063488,0.109568,0.328704,0.365344
0.019456,0.06144,0.108544,0.31744,0.408576
0.019456,0.062464,0.108544,0.3184,0.3584
0.018432,0.06144,0.109568,0.351232,0.357216
0.018432,0.061344,0.109568,0.328704,0.359232
0.018432,0.06128,0.109568,0.321536,0.366592
0.018432,0.06144,0.108544,0.331648,0.355328
0.018432,0.06144,0.108544,0.316416,0.362496
0.021504,0.060384,0.108544,0.329728,0.357152
0.068608,0.063488,0.109568,0.329728,0.362336
0.018432,0.060416,0.109568,0.328704,0.362496
0.018432,0.060416,0.108544,0.32768,0.371712
0.058368,0.060416,0.108544,0.326656,0.359296
0.018432,0.060416,0.108544,0.321536,0.367616
0.0184,0.060416,0.108544,0.319488,0.361472
0.017408,0.06144,0.109568,0.329728,0.357376
0.129024,0.060416,0.120832,0.327552,0.357344
0.054272,0.065536,0.109568,0.326656,0.35328
0.018432,0.060416,0.109568,0.31744,0.360128
0.017408,0.063488,0.109568,0.319488,0.355328
0.018432,0.06336,0.109504,0.326656,0.378592
0.08896,0.06144,0.109536,0.325632,0.354304
0.018432,0.06144,0.11248,0.321504,0.354304
0.018432,0.060416,0.109568,0.324608,0.355328
0.018432,0.06144,0.109568,0.326656,0.3584
0.0768,0.06144,0.108544,0.384,0.361472
0.019456,0.06144,0.109568,0.329568,0.36016
0.018432,0.064512,0.109568,0.36864,0.360192
0.055296,0.06144,0.109536,0.319488,0.35824
0.018432,0.126976,0.109568,0.320512,0.358112
0.018432,0.080896,0.108544,0.370624,0.379904
0.018368,0.062432,0.108544,0.320352,0.356352
0.105472,0.1024,0.109568,0.372736,0.357376
0.018432,0.063488,0.109568,0.326656,0.36352
0.017408,0.062464,0.109568,0.32768,0.359424
0.065536,0.065536,0.108544,0.381952,0.358208
0.018336,0.060416,0.108544,0.31744,0.37376
0.018432,0.062464,0.108544,0.327552,0.361472
0.019456,0.06144,0.108544,0.331776,0.356192
0.082944,0.062464,0.129024,0.3296,0.360288
0.018432,0.062464,0.108544,0.32768,0.387072
0.068608,0.06144,0.108544,0.31744,0.365312
0.018304,0.290816,0.108544,0.327648,0.36352
0.021504,0.06144,0.108544,0.379904,0.351936
0.019392,0.06144,0.108544,0.328704,0.360448
0.018432,0.06144,0.10944,0.327648,0.362464
0.071712,0.06144,0.109568,0.320384,0.355328
0.02048,0.4096,0.109568,0.37888,0.354304
0.069632,0.06144,0.113664,0.326656,0.356352
0.018432,0.060416,0.115712,0.316416,0.354304
0.065536,0.062464,0.121856,0.369664,0.360448
0.0184,0.060416,0.111616,0.377856,0.360416
0.018432,0.060416,0.108544,0.326656,0.362496
0.066496,0.060416,0.109408,0.376832,0.360416
0.017408,0.108544,0.10752,0.32768,0.363328
0.018432,0.059392,0.108448,0.325632,0.3552
0.067584,0.060416,0.108544,0.3584,0.355328
0.018432,0.06144,0.10752,0.340928,0.352256
0.018432,0.43008,0.108544,0.326656,0.36352
0.018432,0.060416,0.109568,0.319488,0.363488
0.069632,0.06144,0.11264,0.328704,0.369664
0.019456,0.060416,0.11264,0.377856,0.356352
0.066528,0.108544,0.11248,0.330624,0.3584
0.018432,0.06144,0.111616,0.326656,0.357376
0.019456,0.06144,0.109472,0.325632,0.359424
0.018368,0.060416,0.109472,0.326496,0.3584
0.06656,0.161792,0.112576,0.317344,0.370688
0.018432,0.060416,0.11264,0.32768,0.364544
0.066464,0.060416,0.129024,0.316416,0.37376
0.018432,0.06144,0.11264,0.326656,0.369664
0.073728,0.395264,0.11264,0.329728,0.364544
0.019456,0.06144,0.108544,0.325632,0.355328
